,drugName,condition,Side_Effect,effectiveness
2251,Vontrol,Vertig,"cold sweat, nausea, vomiting, vertigo, sweat",55.33%
2252,Vortioxetine,"Depression, Major Depressive Disorde, Not Listed / Othe","anger, fall, tired, vomiting, heartburn, feeling hopeless, surgery, fever, Tic, Major depression, nausea and vomiting, tremor, off label use, diarrhea, bite, fatigue, Anxiety, blackout, weight gain, terrify, ammonia, difficulty, dizzy spells, worry, alcoholic, lightheadedness, personality change, hypomania, increased appetite, redness, mania, adverse effect, sleeplessness, dysphoria, constipation, Rash, sweat, projectile vomiting, hunger, no adverse effect, drowsiness, suicidal, Tachycardia, numbness, aggression, Cystitis, Anger, ache, electroconvulsive therapy, Vomiting, crying, depersonalisation, swelling, negative thoughts, rale, seizure, out of breath, muscle twitch, depressive symptom, gag, anxiety disorder, Fear, stress at work, overweight, pain, erectile dysfunction, Depression, drug interaction, Headache, aura, hangover, hypersomnia, Suicidal ideation, nausea, Tinnitus, anhedonia, phobia of driving, cough, stiffness, oral surgery, frustration, euphoric mood, withdraw, Nausea, food craving, sleepy, hyponatremia, Crying, bed rest, agitation, myalgia, blood test, panic, elevated mood, elation, stress, scratch, nightmare, arthralgia, Vasoconstriction, dizziness, Constipation, chill, moody, spasm, night sweat, headache, birth control, gene mutation",44.96%
2253,Vospire ER,"Asthma, acute, Bronchospasm Prophylaxis","difficulty, pain, swelling",46.63%
2254,Votrient,"Renal Cell Carcinoma, Soft Tissue Sarcoma","chondrosarcoma, nephrectomy, fall, tired, hoarseness, vomiting, biopsy, Fatigue, surgery, fever, pain, ache, Surgery, Vomiting, diarrhea, nausea, wound, fatigue, cough, difficulty, dizziness, headache, Renal cell carcinoma, Fall",61.17%
2255,Vusion,Diaper Rash,,74.35%
2256,Vyvanse,"   ADHD, Asperger Syndrome, Binge Eating Disorde, Chronic Fatigue Syndrome, Narcolepsy, Oppositional Defiant Disorde","mania, dependence, chronic fatigue syndrome, sleepy, anger, fall, tired, out of breath, compulsions, vomiting, sweat, agitation, hunger, nervousness, gag, impatience, exhaustion, anxiety disorder, suicidal, Overdose, numbness, Tic, panic, elation, aggression, overweight, traction, purging, pain, tremor, stress, social phobia, autism, Depression, drug interaction, aura, ache, amphetamines, Decreased appetite, diarrhea, unhappy, delusion, crying, obsessive thoughts, nausea, bite, fatigue, Anxiety, nightmare, weight gain, gastric bypass, binge eating, Insomnia, dizziness, difficulty, vertigo, sedentary, anorexia, negative thoughts, worry, chill, drowning, underweight, moody, palpitation, Scar, frustration, withdraw, daydreaming, alcoholic, headache, shortness of breath, Pain, Fall, personality change",57.69%
2257,WP Thyroid,"Hashimoto's disease, Underactive Thyroid","pain, bedridden, fatigue, ache",76.27%
2258,Warfarin,"Antiphospholipid Syndrome, Deep Vein Thrombosis, First Event, Heart Attack, Heart Failure, Prevention of Thromboembolism in Atrial Fibrillation, Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis, Pulmonary Embolism, First Event, Pulmonary Embolism, Recurrent Event","diarrhea, Embolism, anger, fall, pain, surgery",56.63%
2259,Welchol," Diabetes, Type 2, Diarrhea, Chronic, High Cholesterol, Hyperlipoproteinemia Type IIa, Elevated LDL","abdominal bloating, blood test, diarrhea, surgery, Constipation, headache, heartburn, Nausea, gag, pain, constipation, Headache, aura, ache, Migraine",59.49%
2260,Wellbutrin,"1 1 1 7 ADHD, Anxiety, Bipolar Disorde, Depression, Major Depressive Disorde, Migraine Prevention, Panic Disorde, Sexual Dysfunction, SSRI Induced","mania, sleepy, chest tightness, seizure, adverse effect, morbid thoughts, anger, fall, tired, Crying, muscle twitch, affective disorder, homicidal thoughts, constipation, Stress, depressive symptom, sweat, agitation, feeling hopeless, nervousness, staring, gag, anxiety disorder, drowsiness, suicidal, numbness, panic, elation, traction, pain, adverse reaction, stress, Depression, tremor, tinnitus, ache, hangover, diarrhea, unhappy, smoker, crying, obsessive thoughts, libido increased, nausea, fatigue, Anxiety, nightmare, weight gain, muscle mass, binge eating, Insomnia, dizziness, difficulty, dizzy spells, anorexia, negative thoughts, malaise, rale, worry, chill, moody, palpitation, Scar, feeling suicidal, night sweat, withdraw, headache, birth control, Nausea, opiates, postpartum depression, redness",53.29%
2261,Wellbutrin SR,"1 ADHD, Bipolar Disorde, Depression, Major Depressive Disorde, Obesity, Panic Disorde","sleepy, seizure, sleeplessness, anger, fall, tired, constipation, sweat, agitation, exhaustion, anxiety disorder, suicidal, panic, pain, tremor, stress, ache, smoker, crying, nausea, fatigue, Anxiety, nightmare, weight gain, dizziness, worry, frustration, withdraw, dystonia, headache, lightheadedness, extreme exhaustion, redness",52.10%
2262,Wellbutrin XL,"2 2 3 ADHD, Anxiety, Bipolar Disorde, Depression, Major Depressive Disorde, Obesity, Seasonal Affective Disorde","mania, food craving, seizure, adverse effect, anger, fall, tired, vomiting, constipation, sweat, depressive symptom, agitation, immobile, feeling hopeless, nervousness, staring, myalgia, hunger, anxiety disorder, surgery, drowsiness, suicidal, fever, numbness, panic, elation, adverse event, learning disability, pain, adverse reaction, stress, Depression, tremor, tinnitus, ache, diarrhea, unhappy, smoker, crying, nausea, fatigue, Anxiety, anhedonia, nightmare, weight gain, vertigo, Insomnia, dizziness, swelling, dizzy spells, Constipation, malaise, rale, worry, moody, palpitation, spasm, withdraw, headache, shortness of breath, Nausea, lethargy, postpartum depression, redness",55.48%
2263,Xalkori,Non-Small Cell Lung Cance,"diarrhea, tired, nausea, constipation, redness",69.79%
2264,Xanax,"1 3 3    Anxiety, Depression, Dysautonomia, Panic Disorde, Tinnitus","mania, dependence, sleepy, seizure, chest tightness, anger, fall, tired, muscle twitch, compulsions, affective disorder, vomiting, Stress, Rash, sweat, nervousness, gag, myalgia, anxiety disorder, surgery, Dystonia, Anxiety disorder, drowsiness, bankruptcy, drug therapy, numbness, suicidal, choke, transfusion, retch, panic, elation, generalised anxiety disorder, screaming, pain, panic disorder with agoraphobia, nausea and vomiting, tremor, stress, kidney infection, social phobia, Depression, aura, electroconvulsive therapy, tinnitus, ache, rebound effect, hangover, unhappy, crying, obsessive thoughts, nausea, bite, wound, Anxiety, Tinnitus, nightmare, weight gain, terrify, difficulty, binge eating, vertigo, fear of death, dizziness, dizzy spells, feeling strange, anorexia, negative thoughts, trance, clammy skin, worry, chill, palpitation, hyperventilation, spasm, night sweat, withdraw, dystonia, alcoholic, headache, flushing, groggy, hypomania, redness",64.66%
2265,Xanax XR,"1 Anxiety, Depression, Dysautonomia, Panic Disorde, Tinnitus","chest tightness, anger, fall, tired, Stress, brain damage, sweat, nervousness, myalgia, drowsiness, anxiety disorder, panic, elation, screaming, pain, stress, tinnitus, hangover, claustrophobia, nausea, Anxiety, nightmare, weight gain, dizziness, negative thoughts, worry, palpitation, withdraw, flare",65.52%
2266,Xarelto," Atrial Fibrillation, Deep Vein Thrombosis, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis, Prophylaxis, Deep Vein Thrombosis, Recurrent Event, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism, Pulmonary Embolism, Recurrent Event","sleepy, adverse effect, anger, fall, tired, bed rest, sweat, surgery, blood test, numbness, Embolism, scar tissue, transfusion, excruciating pain, pain, adverse reaction, stress, heavy feeling, overdose, ache, hernia repair, hangover, unhappy, nausea, wound, fatigue, nightmare, weight gain, retch, vertigo, dizziness, swelling, dizzy spells, worry, hysterectomy, swollen tongue, spasm, Atrial fibrillation, autoimmune disorder, myomectomy, headache, shortness of breath, redness",49.11%
2267,Xeljanz XR,Rheumatoid Arthritis,"fever, flare, headache, pain, swelling, ache",61.89%
2268,Xenical,13 Obesity,"tired, headache, pain, ache, redness",62.28%
2269,Xgeva,Giant Cell Tumor of Bone,,100.00%
2270,Xifaxan,"Crohn's Disease, Diarrhea, Hepatic Encephalopathy, Irritable Bowel Syndrome, Traveler's Diarrhea","diarrhea, flare, tired, nausea, zinc deficiency, flatulence, vomiting, Pain, ammonia, colonoscopy, pain, difficulty, constipation, low back pain, nausea and vomiting, surgery",53.47%
2271,Xigduo XR,"Diabetes, Type 2",fall,68.28%
2272,Xiidra,Dry Eye Disease,"food craving, anger, surgery, vision blurred, Asthma, pain, burning sensation, emergency care, ache, scratch, crying, corneal transplant, nausea, terrify, retch, cough, difficulty, delivery, worry, asthenia, headache, redness",39.99%
2273,Xolair,"Asthma, Maintenance, Urticaria","adverse effect, fall, tired, redness, Angioedema, Urticaria, idiopathic urticaria, no adverse effect, myalgia, wheezing, panic, Asthma, pain, adverse reaction, stress, Depression, ache, poverty, fatigue, weight gain, cough, dizziness, swelling, delivery, flare, headache, hostility, Pain, atopy",59.59%
2274,Xolegel,"Cutaneous Candidiasis, Seborrheic Dermatitis","pain, redness",57.86%
2275,Xopenex,"Asthma, Asthma, Maintenance, Asthma, acute, COPD, Acute, COPD, Maintenance","choke, Tremor",73.88%
2276,Xopenex HFA,"Asthma, acute","fall, bite, spasm, tremor",69.63%
2277,Xtampza ER,Chronic Pain,"sleeplessness, breakthrough pain, tired, headache, nausea, pain, welt, ache, surgery, moody",39.71%
2278,Xulane,Birth Control,"sleepy, anger, fall, tired, vomiting, constipation, hunger, ingrown hair, surgery, fever, Dizziness, numbness, sciatica, elation, pain, nausea and vomiting, ache, scratch, unhappy, crying, nausea, wound, fatigue, nightmare, weight gain, cough, Shock, dizziness, worry, chill, moody, open wound, hormone therapy, headache, shortness of breath, birth control, sneeze, redness",42.26%
2279,Xylometazoline,Nasal Congestion,"rebound effect, fever, chest tightness, headache, panic, cough, nervousness, ache",61.19%
2280,Xyrem,"Cataplexy, Narcolepsy, ibromyalgia","sleepy, hypnopompic hallucination, anger, sinus pain, fall, tired, vomiting, sweat, hunger, Fatigue, myalgia, exhaustion, pain, tremor, stress, ache, delusion, nausea, fatigue, nightmare, dizziness, worry, spasm, night sweat, withdraw, sleep paralysis, headache, groggy, sleep attacks",58.93%
2281,Xyzal,"  Allergic Rhinitis, Allergies, Urticaria","mania, sleepy, anger, fall, tired, vomiting, Angioedema, Urticaria, idiopathic urticaria, drowsiness, surgery, wheezing, fever, stuffy nose, panic, pain, sniffle, tremor, overdose, ache, hangover, scratch, nausea, bite, fatigue, nightmare, weight gain, cough, difficulty, dizziness, swelling, frustration, flare, autoimmune disorder, headache, groggy, dry throat, sneeze, welt, redness",44.58%
2282,Yasmin,"1 1    Acne, Birth Control, Menstrual Disorders, Premenstrual Dysphoric Disorde","irritable mood, anger, fall, tired, heartburn, redness, constipation, Stress, sweat, hunger, surgery, suicidal, withdrawal bleed, numbness, panic, elation, migraine with aura, pain, stress, Depression, vasectomy, aura, ache, Hypertension, smoker, crying, nausea, fatigue, nightmare, weight gain, difficulty, dizziness, swelling, worry, underweight, moody, withdraw, flare, headache, shortness of breath, birth control, lethargy, increased appetite",43.95%
2283,Yaz," 1      Acne, Birth Control, Menstrual Disorders, Polycystic Ovary Syndrome, Premenstrual Dysphoric Disorde","food craving, sleepy, Infection, anger, fall, tired, muscle twitch, vomiting, heartburn, redness, sweat, depressive symptom, feeling hopeless, exhaustion, anxiety disorder, surgery, suicidal, unwanted pregnancy, fever, blood test, numbness, Embolism, panic, excruciating pain, elation, pregnancy test, overweight, pain, burning sensation, nausea and vomiting, divorced, stress, Depression, ache, Migraine, massage, hot flush, diarrhea, smoker, crying, syncope, nausea, fatigue, Anxiety, nightmare, weight gain, terrify, retch, Shock, difficulty, vertigo, dizziness, swelling, dizzy spells, Constipation, worry, chill, hysterectomy, moody, palpitation, night sweat, flare, spider vein, headache, shortness of breath, birth control, pustule, bedridden, lethargy, red blotches, increased appetite",45.66%
2284,Yellow fever vaccine,Yellow Fever Prophylaxis,"fever, pain, ache",33.36%
2285,Yohimbine,"Erectile Dysfunction, Not Listed / Othe, Sexual Dysfunction, SSRI Induced","anger, nausea, vomiting, terrify, Nausea, hunger",40.41%
2286,Zafirlukast,"Asthma, Maintenance",nightmare,77.41%
2287,Zaleplon,"Insomnia, Not Listed / Othe","mania, sleepy, chronic fatigue syndrome, fall, tired, constipation, myalgia, staring, drowsiness, pain, stress, aura, ache, hangover, nausea, fatigue, cough, difficulty, anorexia, worry, headache, groggy, Fall",42.49%
2288,Zanaflex,"3 5 7 7 Cluster Headaches, Muscle Spasm","sleepy, hypotension, sleeplessness, anger, fall, tired, pain management, Sciatica, myalgia, surgery, heat therapy, sciatica, bone graft, excruciating pain, pain, stress, off label use, ache, Surgery, massage, Arthritis, hangover, bradycardia, diarrhea, fatigue, retch, difficulty, spasm, withdraw, autoimmune disorder, headache, groggy, low back pain, redness",58.02%
2289,Zanamivir,"Influenza, Swine Flu",delivery,50.76%
2290,Zantac,Erosive Esophagitis,,90.93%
2291,Zantryl,Obesity,,80.20%
2292,Zegerid,"1  Duodenal Ulce, Erosive Esophagitis, GERD, Gastrointestinal Hemorrhage, Stomach Ulce","headache, heartburn, endoscopy, cough, pain, Hiatus hernia, dizziness, biopsy, ache, surgery",61.94%
2293,Zegerid OTC,GERD,"pain, heartburn",54.11%
2294,Zelboraf,"Melanoma, Metastatic","malaise, pain, lesion",32.21%
2295,Zenatane,Acne,"blood test, flare, tired, out of breath, pain, adverse reaction, ache, redness",58.00%
2296,Zenchent,Birth Control,"food craving, headache, nausea, weight gain, birth control, pain, ache",54.56%
2297,Zenpep,"Chronic Pancreatitis, Pancreatic Exocrine Dysfunction",pain,66.49%
2298,Zestoretic,High Blood Pressure,"cough, headache, ache",65.40%
2299,Zicam Extreme Congestion Relief,Nasal Congestion,,68.50%
2300,Ziconotide,"Chronic Pain, Pain","sneeze, knee operation, shoulder operation",18.88%
2301,Zileuton,"Asthma, Maintenance",fatigue,6.75%
2302,Zinc gluconate,Dietary Supplementation,,51.00%
2303,Zinc oxide,"Anal Itching, Dermatologic Lesion, Diaper Rash","redness, bite, scar tissue",66.94%
2304,Zinc sulfate,Vitamin/Mineral Supplementation and Deficiency,,65.92%
2305,Zioptan,"Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension, Intraocular Hypertension",swelling,70.62%
2306,Ziprasidone,"Autism, Bipolar Disorde, Body Dysmorphic Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Paranoid Disorde, Schizoaffective Disorde, Schizophrenia, Tourette's Syndrome","mania, sleepy, seizure, Akathisia, sleeplessness, anger, fall, tired, muscle twitch, affective disorder, vomiting, heartburn, flatulence, redness, sweat, agitation, immobile, drool, exhaustion, anxiety disorder, surgery, drowsiness, Tachycardia, suicidal, blood test, carditis, panic, elation, screaming, pain, akinesia, tremor, stress, autism, erectile dysfunction, laryngospasm, divorced, ache, massage, scratch, diarrhea, delusion, crying, nausea, bite, fatigue, Anxiety, blackout, nightmare, weight gain, cough, uncoordination, difficulty, terrify, Parkinsonism, dizziness, stiffness, anorexia, Mania, worry, chill, moody, palpitation, distractibility, frustration, Scar, spasm, dystonia, withdraw, headache, groggy, Pain, hypomania, increased appetite",43.74%
2307,Zipsor,"Back Pain, Muscle Pain, Pain","Arthritis, sleepy, sciatica, migraine with aura, Pain, colonoscopy, pain, swelling, opiates, aura, myalgia, surgery",56.74%
2308,Zocor,High Cholesterol,"blood test, numbness, sleeplessness, headache, pain, dizziness, Depression, ache, surgery",37.30%
2309,Zofran," Gastroenteritis, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Nausea/Vomiting, Radiation Induced","sleepy, hyperemesis, seizure, anger, fall, tired, vomiting, heartburn, constipation, sweat, myalgia, anxiety disorder, inner ear disorder, surgery, drowsiness, fever, starvation, Ovarian cancer, panic, liposuction, ear disorder, traction, pain, paresis, nausea and vomiting, drug interaction, aura, ache, Surgery, Vomiting, hangover, diarrhea, nausea, hyperemesis gravidarum, cough, vertigo, dizziness, Constipation, worry, hysterectomy, cold sweat, fibromatosis, fibroma, withdraw, headache, shortness of breath, cyst rupture, birth control, Nausea, redness",61.57%
