drugName,condition,Side_Effect,effectiveness
Sertraline,"Anxiety and Stress, Bipolar Disorde, Borderline Personality Disorde, Depression, Dissociative Identity Disorde, Generalized Anxiety Disorde, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Persistent Depressive Disorde, Post Traumatic Stress Disorde, Postpartum Depression, Premenstrual Dysphoric Disorde, Social Anxiety Disorde, Trichotillomania, Vulvodynia","anger, fall, tired, vomiting, heartburn, exhaustion, surgery, tearfulness, laziness, tremor, social phobia, hot flush, diarrhea, claustrophobia, unhappy, unable to concentrate, obsessive thoughts, bite, fatigue, Anxiety, weight gain, terrify, retch, difficulty, dizzy spells, trance, worry, cold sweat, alcoholic, lightheadedness, anorgasmia, increased appetite, redness, mania, chest tightness, adverse effect, sleeplessness, compulsions, fear of eating, alcoholism, endoscopy, sexual abuse, constipation, sweat, hunger, nervousness, hypervigilance, drowsiness, suicidal, mastectomy, numbness, aggression, unwell, Erectile dysfunction, divorced, ache, bereavement, crying, colonoscopy, binge eating, swelling, negative thoughts, delivery, rale, boredom, drowning, hyperventilation, feeling suicidal, sleep paralysis, groggy, postpartum depression, seizure, out of breath, muscle twitch, dermatillomania, Stress, depressive symptom, psychotherapy, gag, anxiety disorder, social problem, stress at work, Dizziness, stress symptoms, lesion, withdrawal syndrome, overweight, traction, pain, burning sensation, adverse reaction, Tremor, Depression, overdose, autism, erectile dysfunction, Headache, aura, rebound effect, hangover, smoker, nausea, vertigo, Insomnia, stiffness, feelings of worthlessness, morose, underweight, gastric banding, frustration, withdraw, shooting pain, vaginismus, shortness of breath, Nausea, lethargy, social fear, sleepy, acupuncture, agitation, staring, emotional distress, myalgia, blood test, choke, panic, elation, screaming, panic disorder with agoraphobia, stress, Serotonin syndrome, yawning, scratch, nightmare, dizziness, self-medication, Constipation, chill, hysterectomy, moody, palpitation, Scar, spasm, night sweat, flare, headache, birth control, opiates, red blotches",53.91%
Sevelamer,Hyperphosphatemia of Renal Failure,"withdraw, diarrhea",59.85%
Sharobel,Birth Control,"night sweat, vestibulitis, smoker, crying, weight gain, birth control, pain, sweat, stress",37.68%
Sildec-PE DM,Cough and Nasal Congestion,"cough, hacking cough",70.86%
Sildenafil,"Erectile Dysfunction, Sexual Dysfunction, SSRI Induced","stress, fall, headache, stuffy nose, elation, difficulty, pain, prostatectomy, stiffness, erectile dysfunction, Headache, overdose, flushing, ache",59.42%
Silenor,1 2 2 2 2 Insomnia,"arthroscopic surgery, sleepy, adverse effect, fall, tired, acupuncture, surgery, panic, pain, adverse reaction, stress, ache, hangover, crying, nightmare, weight gain, difficulty, Insomnia, dizziness, Mood swings, worry, headache, groggy",51.02%
Silodosin,Benign Prostatic Hyperplasia,"anger, tired, constipation, biopsy, retrograde ejaculation, surgery, Dizziness, stuffy nose, panic, elation, pain, muscle fatigue, burning sensation, erectile dysfunction, vasectomy, ache, diarrhea, fatigue, difficulty, dizziness, Obstruction, frustration, flare, headache, shortness of breath, Hyperplasia, birth control, lethargy",44.04%
Silver,Dermatological Disorders,"pain, bite",66.10%
Silver sulfadiazine,"Burns, External, Not Listed / Othe","Scar, fall, headache, nausea, scab, wound, pain, swelling, ache, redness",71.06%
Simcor,"High Cholesterol, Hyperlipoproteinemia",flushing,50.96%
Simply Sleep,Insomnia,"fall, dry throat, tired, drowsiness",36.69%
Simvastatin,"Cardiovascular Risk Reduction, High Cholesterol, High Cholesterol, Familial Heterozygous, Hyperlipoproteinemia Type IIa, Elevated LDL","anger, fall, tired, pancreatic cyst, biopsy, myalgia, blood test, numbness, pain, erectile dysfunction, ache, Shock, vertigo, dizziness, stiffness, chill, swollen tongue, spasm, angioplasty, headache, shortness of breath, Pain, lethargy, lipase, redness",37.42%
Sine-Off Maximum Strength,Sinus Symptoms,"cough, headache, ache",72.86%
Sinemet,"Parkinson's Disease, Restless Legs Syndrome","sleepy, adverse effect, fatigue, groggy, blackout, tremor",58.57%
Sinequan,"Depression, Insomnia, Major Depressive Disorde","panic, Insomnia, drowsiness",73.45%
Singulair,"1 Allergic Rhinitis, Asthma, Asthma, Maintenance, Bronchospasm Prophylaxis, COPD","sleepy, fall, tired, out of breath, allergy test, depressed mood, agitation, suicidal, wheezing, fever, stuffy nose, panic, Asthma, aggression, pain, adverse reaction, stress, snoring, Rhinitis, tremor, ache, scratch, nausea, bite, fatigue, Anxiety, nightmare, cough, difficulty, swelling, malaise, worry, chill, moody, palpitation, frustration, bronchoscopy, flare, Nasal congestion, headache, shortness of breath, sneeze, welt, Wheezing, redness",51.92%
Sipuleucel-T,Prostate Cance,fatigue,4.34%
Sitagliptin,"Diabetes, Type 2","Constipation, pain",31.35%
Skeeter Stik,Pruritus,bite,100.00%
Sklice,Head Lice,"pain, scratch, nightmare, stress",51.29%
Skyla,  Birth Control,"anger, fall, tired, Crying, vomiting, heartburn, constipation, sweat, hunger, biopsy, exhaustion, surgery, suicidal, unwanted pregnancy, withdrawal bleed, fever, scar tissue, panic, excruciating pain, elation, pregnancy test, screaming, uterine spasm, traction, pain, thicken, kidney infection, stress, laparoscopic surgery, vasectomy, aura, burning sensation, ache, Migraine, scratch, diarrhea, unhappy, crying, nausea, bite, fatigue, nightmare, weight gain, terrify, cough, difficulty, vertigo, retch, dizziness, swelling, bloody discharge, delivery, worry, chill, hysterectomy, moody, cold sweat, spasm, withdraw, shooting pain, headache, cyst rupture, lightheadedness, Pain, birth control, Fall, Nausea, groggy, extreme exhaustion, redness",50.34%
Sleep Aid,Insomnia,"tired, pain",48.52%
Slo-Niacin,High Cholesterol,"constipation, flushing",68.00%
Slow Fe,Iron Deficiency Anemia,"shortness of breath, pain, constipation",46.39%
Sodium biphosphate / sodium phosphate,"Bowel Preparation, Constipation","diarrhea, chill, spasm, crying, headache, vomiting, weight gain, colonoscopy, sigmoidoscopy, pain, sweat, constipation, projectile vomiting, ache, hernia repair, surgery",61.68%
Sodium hyaluronate,"Burns, External, Dermatitis, Dermatologic Lesion, Not Listed / Othe, Osteoarthritis","arthroscopic surgery, fall, tired, pain management, myalgia, surgery, arthroscopy, fever, inflammatory pain, overweight, pain, adverse reaction, ache, Surgery, massage, nausea, weight gain, retch, difficulty, swelling, stiffness, Scar, spasm, flare, shooting pain, fluid replacement, headache, Pain, debilitation, Fall, redness",50.03%
Sodium oxybate,"Cataplexy, Narcolepsy, ibromyalgia","myalgia, stress",63.64%
Sodium polystyrene sulfonate,Hyperkalemia,diarrhea,60.26%
Sofosbuvir,Hepatitis C,"tired, viral load, redness",37.13%
Sofosbuvir / velpatasvir,Hepatitis C,"Drug interaction, blood test, spasm, shooting pain, tired, headache, nausea, fatigue, Lymphoma, panic, pain, viral load, sweat, Headache, ache, exhaustion, redness",57.41%
Solaraze,Keratosis,"biopsy, pain, lesion, endoscopy",37.32%
Solarcaine First Aid Medicated Spray,"Burns, External",pain,76.92%
Solifenacin,"Overactive Bladde, Urinary Incontinence","tired, heartburn, constipation, sweat, surgery, Tic, unwell, pain, kidney infection, stress, ache, cognitive deterioration, bladder spasm, diarrhea, urethral syndrome, nausea, bite, fatigue, weight gain, urge incontinence, difficulty, cough, dizziness, Constipation, worry, Scar, spasm, headache, Pain, sneeze, redness",42.11%
Soma,"1 3 6 Muscle Spasm, Nocturnal Leg Cramps","sleepy, anger, fall, tired, vomiting, pain management, sweat, myalgia, occipital neuralgia, drowsiness, surgery, suicidal, sciatica, panic, pain, kidney infection, overdose, ache, Sedation, nausea, bite, dizziness, stiffness, hysterectomy, spasm, withdraw, flare, headache, groggy, Pain, Fall, opiates, redness",66.29%
Soma Compound,"Muscle Pain, Muscle Spasm","pain, spasm, Pain",74.20%
Soma Compound with Codeine,"Muscle Spasm, Pain","spasm, Pain, cough, pain, myalgia, surgery",73.44%
Somnote,"Insomnia, Sedation","drug interaction, hangover, fall, drowsiness",66.83%
Sorafenib,"Hepatic Tum, Hepatocellular Carcinoma, Renal Cell Carcinoma, Thyroid Cance","blood test, diarrhea, nausea, pain, stress, dialysis",50.94%
Soriatane,Psoriasis,biopsy,51.23%
Sotalol,"Atrial Fibrillation, Atrial Flutte, Ventricular Arrhythmia","asthenia, cardiac ablation, bradycardia, Atrial fibrillation, anger, tired, nausea, fatigue, visual disturbance, lightheadedness, weight gain, pain, dizziness, worry, surgery",45.34%
Sovaldi,Hepatitis C,"fever, blood test, transfusion, headache, nausea, fatigue, Anxiety, vomiting, weight gain, ache, Mass, difficulty, pain, viral load, biopsy, liver transplant, worry, drowsiness",61.63%
Spectracef," Bronchitis, Tonsillitis/Pharyngitis","headache, ache, nausea, chill",25.24%
Spiriva," COPD, Maintenance","anger, fall, tired, hoarseness, scab, heartburn, Glaucoma, surgery, wheezing, panic, Asthma, pain, Pneumonia, stress, Migraine, cough, difficulty, dizziness, swelling, flushing, chill, palpitation, spasm, withdraw, flare, shortness of breath",50.74%
Spiriva Respimat,"COPD, Maintenance","smoker, tired, cough, pain, tremor, myalgia",50.80%
Spironolactone,"Acne, Alopecia, Edema, Gender Dysphoria, Heart Failure, High Blood Pressure, Hirsutism, Hypokalemia, Primary Hyperaldosteronism, Primary Hyperaldosteronism Diagnosis","mania, seizure, sleeplessness, anger, fall, tired, out of breath, vomiting, heartburn, constipation, ingrown hair, drowsiness, blood test, numbness, panic, elation, Alopecia, purging, pain, androgenetic alopecia, stress, overdose, ache, chapped lips, diarrhea, crying, nausea, bite, fatigue, nightmare, weight gain, paralyse, cough, muscle mass, dizziness, swelling, stiffness, dizzy spells, worry, chill, hysterectomy, palpitation, spasm, flare, acne conglobata, headache, lightheadedness, Pain, birth control, hirsutism, groggy, pustule, secondary hypertension, redness",55.87%
Sporanox,"Aspergillosis, Aspergilloma, Candidemia, Coccidioidomycosis, Onychomycosis, Fingernail, Onychomycosis, Toenail, Vaginal Yeast Infection","blood test, tired, headache, nausea, pain, constipation, swelling, ache, redness",59.09%
Sprintec,"     Abnormal Uterine Bleeding, Birth Control, Endometriosis, Ovarian Cysts","food craving, sleepy, menopausal symptoms, anger, fall, tired, Crying, out of breath, vomiting, heartburn, redness, bed rest, constipation, sweat, hunger, biopsy, gag, surgery, suicidal, stress at work, blood test, laziness, Abdominal pain, transfusion, panic, excruciating pain, elation, pregnancy test, screaming, overweight, pain, thicken, adverse reaction, stress, Depression, androgenetic alopecia, Headache, nausea and vomiting, ache, sore to touch, diarrhea, unhappy, delusion, crying, nausea, wound, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, vertigo, dizziness, swelling, dizzy spells, negative thoughts, Mood swings, worry, chill, moody, elderly, weight fluctuation, abortion, withdraw, flare, hormone therapy, autoimmune disorder, alcoholic, headache, shortness of breath, birth control, Nausea, pustule, increased appetite",42.26%
Sprix,Pain,"nerve block, flare, headache, nausea, ache, Pain, pain, burning sensation, gag, myalgia, surgery",60.71%
Sprycel,"Acute Lymphoblastic Leukemia, Chronic Myelogenous Leukemia, Leukemia","transfusion, headache, nausea, cough, vertigo, pain, ache",65.01%
Sronyx,"1   Abnormal Uterine Bleeding, Birth Control, Polycystic Ovary Syndrome","fall, tired, vomiting, constipation, hunger, drowsiness, panic, elation, pregnancy test, pain, nausea and vomiting, stress, ache, unhappy, crying, nausea, fatigue, nightmare, weight gain, Insomnia, dizziness, moody, myomectomy, headache, Pain, birth control",41.59%
St. john's wort,"Depression, Night Terrors, Not Listed / Othe","anger, tired, depressed mood, suicidal, laziness, panic, screaming, pain, stress, Depression, drug interaction, ache, diarrhea, crying, obsessive thoughts, nausea, fatigue, Anxiety, dizziness, rale, negative thoughts, worry, withdraw, headache, groggy, birth control",62.10%
Stadol," Labor Pain, Pain","sleepy, vomiting, dysphoria, sweat, myalgia, panic, screaming, traction, pain, adverse reaction, aura, ache, Migraine, hangover, crying, nausea, nightmare, delivery, hysterectomy, withdraw, headache",57.10%
Stimate, von Willebrand's Disease,birth control,77.49%
Stivarga,"Colorectal Cance, Gastrointestinal Stromal Tum",fatigue,40.27%
Striant,"Hypogonadism, Male",delivery,60.88%
Stribild, HIV Infection,"hangover, opportunistic infection, blood test, Pneumonia, numbness, diarrhea, fall, headache, nausea, fatigue, flatulence, pain, viral load, dizziness, stress, ache, worry",70.22%
Striverdi Respimat,COPD,"headache, out of breath, cough, swelling, ache",41.69%
Subsys,"Breakthrough Pain, Chronic Pain","Arthritis, withdraw, fall, panic, nightmare, Pain, pain, paresis, myalgia, surgery",60.53%
Succinylcholine,Anesthesia,"blood test, bronchoscopy, fall, ache, blackout, Pain, cough, screaming, pain, stiffness, adverse reaction, myalgia, surgery",16.50%
Sucralfate,"Duodenal Ulce, GERD, Not Listed / Othe, Stomach Ulce, Stress Ulcer Prophylaxis","stress ulcer, anger, heartburn, endoscopy, constipation, hunger, gag, surgery, choke, pain, paresis, stress, ache, scratch, diarrhea, nausea, cough, colonoscopy, gastric bypass, vertigo, swelling, delivery, spasm, flare, Chest pain, headache, dry throat, low back pain",55.16%
Sudafed Congestion,Nasal Congestion,"fever, nausea",62.81%
Sudafed PE Congestion,Nasal Congestion,pain,100.00%
Sudafed PE Severe Cold,Cold Symptoms,anger,33.89%
Sulfacetamide sodium,Conjunctivitis,nausea,59.23%
Sulfacetamide sodium / sulfur,"Acne, Rosacea","flare, Dermatitis, birth control, pain, redness",60.09%
Sulfamethoxazole / trimethoprim,"Acne, Bacterial Infection, Bacterial Skin Infection, Bronchitis, Infection Prophylaxis, Kidney Infections, Not Listed / Othe, Otitis Media, Prevention of Bladder infection, Prostatitis, Sinusitis, Traveler's Diarrhea, Upper Respiratory Tract Infection, Urinary Tract Infection","vestibulitis, anger, fall, tired, vomiting, heartburn, surgery, grunting, fever, nausea and vomiting, tremor, diarrhea, bite, wound, Anxiety, fatigue, retch, difficulty, dizzy spells, flushing, worry, neck stiffness, redness, mania, chest tightness, sleeplessness, loop electrosurgical excision procedure, constipation, sweat, drool, nervousness, drowsiness, suicidal, numbness, excruciating pain, unwell, ache, Vomiting, tanning, crying, feeling strange, swelling, Pain, Infection, dermatillomania, wheezing, pain, burning sensation, adverse reaction, kidney infection, Headache, overdose, Migraine, hangover, nausea, cough, vertigo, stiffness, shooting pain, shortness of breath, Nausea, welt, lethargy, sleepy, scab, poor quality sleep, tendon pain, blood test, ear piercing, stubbornness, transfusion, carditis, panic, hematuria, stress, Chills, bladder spasm, nightmare, dizziness, malaise, fear of falling, hysterectomy, chill, moody, palpitation, spasm, night sweat, flare, headache, birth control, red blotches",37.31%
Sulfasalazine,"Crohn's Disease, Crohn's Disease, Acute, Inflammatory Bowel Disease, Juvenile Rheumatoid Arthritis, Psoriatic Arthritis, Rheumatoid Arthritis, Ulcerative Colitis","fall, tired, hoarseness, constipation, sweat, fever, blood test, choke, pain, adverse reaction, stress, kidney infection, ache, Arthritis, diarrhea, nausea, fatigue, dizziness, swelling, stiffness, Colitis, worry, chill, palpitation, spasm, flare, headache, redness",41.04%
Sulindac,"Ankylosing Spondylitis, Gout, Acute, Juvenile Rheumatoid Arthritis, Osteoarthritis, Pain, Rheumatoid Arthritis","sleepy, crying, pain, swelling, stiffness, stress, surgery",54.89%
